,age,choice,createdAt,question,step,user,result,topic,ageGroup
14671,12,left,2019-05-28 12:20:42.746000+00:00,A_H_M_CO,59,d09631e3,orientation,animals,11-13
13219,12,left,2019-05-28 12:20:43.488000+00:00,C_E_F_C,1,c210f5cf,correct,cards,11-13
8032,12,right,2019-05-28 12:20:43.679000+00:00,G_H_M_CO,31,6a36b606,color,geometry,11-13
14623,12,right,2019-05-28 12:20:44.748000+00:00,C_H_F_OT,60,d09631e3,orientation,cards,11-13
529,12,right,2019-05-28 12:20:45.638000+00:00,A_H_M_CO,35,1454962c,color,animals,11-13
8035,12,right,2019-05-28 12:20:46.643000+00:00,G_H_M_CT,32,6a36b606,type,geometry,11-13
14673,12,left,2019-05-28 12:20:46.668000+00:00,G_H_F_CT,61,d09631e3,color,geometry,11-13
4907,12,left,2019-05-28 12:20:48.013000+00:00,C_E_F_O,5,495c9457,wrong,cards,11-13
580,12,left,2019-05-28 12:20:48.334000+00:00,G_H_F_OT,36,1454962c,orientation,geometry,11-13
14613,12,right,2019-05-28 12:20:48.438000+00:00,A_H_F_CO,62,d09631e3,color,animals,11-13
10977,12,right,2019-05-28 12:20:48.720000+00:00,G_H_M_OT,37,a3344a41,type,geometry,11-13
4920,12,right,2019-05-28 12:20:49.214000+00:00,C_E_F_O,5,495c9457,correct,cards,11-13
564,12,right,2019-05-28 12:20:49.360000+00:00,G_H_F_OT,36,1454962c,type,geometry,11-13
8001,12,right,2019-05-28 12:20:50.356000+00:00,C_H_M_CO,33,6a36b606,color,cards,11-13
10934,12,left,2019-05-28 12:20:51.141000+00:00,C_H_F_CO,38,a3344a41,color,cards,11-13
8012,12,right,2019-05-28 12:20:51.379000+00:00,C_H_M_CT,34,6a36b606,type,cards,11-13
531,12,left,2019-05-28 12:20:51.475000+00:00,G_H_M_OT,37,1454962c,orientation,geometry,11-13
4923,12,left,2019-05-28 12:20:53.393000+00:00,A_E_F_T,6,495c9457,correct,animals,11-13
545,12,right,2019-05-28 12:20:53.602000+00:00,C_H_F_CO,38,1454962c,orientation,cards,11-13
10980,12,right,2019-05-28 12:20:53.826000+00:00,C_H_F_CO,38,a3344a41,orientation,cards,11-13
8036,12,right,2019-05-28 12:20:54.242000+00:00,C_H_M_OT,35,6a36b606,orientation,cards,11-13
558,12,left,2019-05-28 12:20:54.940000+00:00,C_H_F_CO,38,1454962c,color,cards,11-13
10937,12,left,2019-05-28 12:20:56.650000+00:00,C_H_M_CO,39,a3344a41,orientation,cards,11-13
8014,12,right,2019-05-28 12:20:57.020000+00:00,G_H_F_OT,36,6a36b606,type,geometry,11-13
16063,12,right,2019-05-28 12:20:57.085000+00:00,A_E_F_T,3,e9a4d0fa,wrong,animals,11-13
565,12,right,2019-05-28 12:20:57.949000+00:00,C_H_M_CO,39,1454962c,color,cards,11-13
5217,12,right,2019-05-28 12:20:58.495000+00:00,C_E_F_T,0,4cdf9fda,correct,cards,11-13
10859,11,left,2019-05-28 12:20:59.486000+00:00,A_E_F_O,4,a2289c75,wrong,animals,11-13
16055,12,left,2019-05-28 12:20:59.959000+00:00,A_E_F_T,3,e9a4d0fa,correct,animals,11-13
13207,12,right,2019-05-28 12:21:00.259000+00:00,C_E_F_O,2,c210f5cf,correct,cards,11-13
8061,12,left,2019-05-28 12:21:00.544000+00:00,G_H_F_OT,36,6a36b606,orientation,geometry,11-13
589,12,left,2019-05-28 12:21:00.561000+00:00,A_H_F_CT,40,1454962c,type,animals,11-13
585,12,right,2019-05-28 12:21:01.466000+00:00,A_H_F_CT,40,1454962c,color,animals,11-13
4709,12,right,2019-05-28 12:21:03.107000+00:00,C_E_F_T,0,46e4b725,correct,cards,11-13
8059,12,right,2019-05-28 12:21:03.497000+00:00,G_H_M_OT,37,6a36b606,type,geometry,11-13
579,12,right,2019-05-28 12:21:03.801000+00:00,A_H_M_CT,41,1454962c,color,animals,11-13
13200,12,left,2019-05-28 12:21:04.475000+00:00,A_E_F_T,3,c210f5cf,correct,animals,11-13
4948,12,left,2019-05-28 12:21:04.798000+00:00,A_E_F_O,7,495c9457,wrong,animals,11-13
16022,12,left,2019-05-28 12:21:06.007000+00:00,A_E_F_O,4,e9a4d0fa,wrong,animals,11-13
561,12,right,2019-05-28 12:21:06.281000+00:00,G_H_F_OT,42,1454962c,type,geometry,11-13
10886,11,right,2019-05-28 12:21:06.383000+00:00,A_E_F_O,4,a2289c75,correct,animals,11-13
8011,12,left,2019-05-28 12:21:07.094000+00:00,C_H_F_CO,38,6a36b606,color,cards,11-13
5255,12,left,2019-05-28 12:21:08.210000+00:00,C_E_F_C,1,4cdf9fda,correct,cards,11-13
10940,12,left,2019-05-28 12:21:08.334000+00:00,A_H_F_CT,40,a3344a41,type,animals,11-13
4927,12,right,2019-05-28 12:21:08.513000+00:00,A_E_F_O,7,495c9457,correct,animals,11-13
532,12,right,2019-05-28 12:21:08.949000+00:00,C_H_F_CO,43,1454962c,orientation,cards,11-13
16087,12,right,2019-05-28 12:21:10.154000+00:00,A_E_F_O,4,e9a4d0fa,correct,animals,11-13
7991,12,right,2019-05-28 12:21:10.407000+00:00,C_H_F_CO,38,6a36b606,orientation,cards,11-13
583,12,left,2019-05-28 12:21:11.273000+00:00,A_H_F_CT,44,1454962c,type,animals,11-13
4716,12,left,2019-05-28 12:21:12.786000+00:00,C_E_F_C,1,46e4b725,correct,cards,11-13
13181,12,right,2019-05-28 12:21:13.910000+00:00,A_E_F_O,4,c210f5cf,correct,animals,11-13
