,user,step,createdAt,question,result,topic,ageGroup,uniqueQuestionID,type,feature
66,1147ad30,3,2019-06-13 06:24:14.635000+00:00,G_E_F_C,correct,geometry,11-13,G_E_F_C_INTRO,INTRO,color
67,1147ad30,4,2019-06-13 06:24:17.891000+00:00,G_E_F_T,correct,geometry,11-13,G_E_F_T_INTRO,INTRO,type
68,1147ad30,5,2019-06-13 06:24:21.594000+00:00,G_E_F_O,correct,geometry,11-13,G_E_F_O_INTRO,INTRO,orientation
69,1147ad30,6,2019-06-13 06:24:23.783000+00:00,C_E_F_T,correct,cards,11-13,C_E_F_T_INTRO,INTRO,type
70,1147ad30,7,2019-06-13 06:24:25.900000+00:00,C_E_F_C,correct,cards,11-13,C_E_F_C_INTRO,INTRO,color
71,1147ad30,8,2019-06-13 06:24:36.203000+00:00,C_E_F_O,correct,cards,11-13,C_E_F_O_INTRO,INTRO,orientation
72,1147ad30,9,2019-06-13 06:24:38.545000+00:00,A_E_M_T,correct,animals,11-13,A_E_M_T_INTRO,INTRO,type
73,1147ad30,10,2019-06-13 06:24:45.784000+00:00,A_E_M_O,correct,animals,11-13,A_E_M_O_INTRO,INTRO,orientation
74,1147ad30,11,2019-06-13 06:25:06.264000+00:00,A_E_M_C,correct,animals,11-13,A_E_M_C_INTRO,INTRO,color
75,1147ad30,12,2019-06-13 06:25:13.888000+00:00,C_E_M_O,correct,cards,11-13,C_E_M_O_INTRO,INTRO,orientation
76,1147ad30,13,2019-06-13 06:25:25.081000+00:00,C_E_M_C,correct,cards,11-13,C_E_M_C_INTRO,INTRO,color
77,1147ad30,14,2019-06-13 06:25:30.365000+00:00,C_E_M_T,correct,cards,11-13,C_E_M_T_INTRO,INTRO,type
78,1147ad30,15,2019-06-13 06:25:56.866000+00:00,G_E_M_O,correct,geometry,11-13,G_E_M_O_INTRO,INTRO,orientation
79,1147ad30,16,2019-06-13 06:26:00.518000+00:00,G_E_M_C,correct,geometry,11-13,G_E_M_C_INTRO,INTRO,color
80,1147ad30,17,2019-06-13 06:26:04.502000+00:00,G_E_M_T,correct,geometry,11-13,G_E_M_T_INTRO,INTRO,type
81,1147ad30,18,2019-06-13 06:26:08.412000+00:00,G_H_F_OT,orientation,geometry,11-13,G_H_F_OT_CORE,CORE,dual
82,1147ad30,19,2019-06-13 06:26:13.375000+00:00,G_H_F_CO,color,geometry,11-13,G_H_F_CO_CORE,CORE,dual
83,1147ad30,20,2019-06-13 06:26:20.510000+00:00,G_H_F_CT,color,geometry,11-13,G_H_F_CT_CORE,CORE,dual
84,1147ad30,21,2019-06-13 06:26:25.459000+00:00,A_H_F_CT,type,animals,11-13,A_H_F_CT_CORE,CORE,dual
85,1147ad30,22,2019-06-13 06:26:31.090000+00:00,A_H_F_OT,type,animals,11-13,A_H_F_OT_CORE,CORE,dual
86,1147ad30,23,2019-06-13 06:26:36.450000+00:00,A_H_F_CO,orientation,animals,11-13,A_H_F_CO_CORE,CORE,dual
87,1147ad30,24,2019-06-13 06:26:40.600000+00:00,C_H_F_CO,color,cards,11-13,C_H_F_CO_CORE,CORE,dual
88,1147ad30,25,2019-06-13 06:26:46.486000+00:00,C_H_F_CT,color,cards,11-13,C_H_F_CT_CORE,CORE,dual
89,1147ad30,26,2019-06-13 06:26:50.899000+00:00,C_H_F_OT,orientation,cards,11-13,C_H_F_OT_CORE,CORE,dual
90,1147ad30,27,2019-06-13 06:26:56.210000+00:00,A_H_M_CT,type,animals,11-13,A_H_M_CT_CORE,CORE,dual
91,1147ad30,28,2019-06-13 06:26:58.827000+00:00,A_H_M_OT,type,animals,11-13,A_H_M_OT_CORE,CORE,dual
92,1147ad30,29,2019-06-13 06:27:06.389000+00:00,A_H_M_CO,orientation,animals,11-13,A_H_M_CO_CORE,CORE,dual
93,1147ad30,30,2019-06-13 06:27:09.728000+00:00,C_H_M_CO,color,cards,11-13,C_H_M_CO_CORE,CORE,dual
94,1147ad30,31,2019-06-13 06:27:12.245000+00:00,C_H_M_CT,color,cards,11-13,C_H_M_CT_CORE,CORE,dual
95,1147ad30,32,2019-06-13 06:27:14.842000+00:00,C_H_M_OT,orientation,cards,11-13,C_H_M_OT_CORE,CORE,dual
96,1147ad30,33,2019-06-13 06:27:20.443000+00:00,G_H_M_OT,orientation,geometry,11-13,G_H_M_OT_CORE,CORE,dual
97,1147ad30,34,2019-06-13 06:27:23.037000+00:00,G_H_M_CO,color,geometry,11-13,G_H_M_CO_CORE,CORE,dual
98,1147ad30,35,2019-06-13 06:27:25.070000+00:00,G_H_M_CT,color,geometry,11-13,G_H_M_CT_CORE,CORE,dual
99,1147ad30,36,2019-06-13 06:27:28.177000+00:00,G_H_F_OT,orientation,geometry,11-13,G_H_F_OT_TRIK,TRIK,dual
100,1147ad30,37,2019-06-13 06:27:35.560000+00:00,G_H_M_OT,type,geometry,11-13,G_H_M_OT_FLEX,FLEX,dual
101,1147ad30,38,2019-06-13 06:27:37.561000+00:00,C_H_F_CO,color,cards,11-13,C_H_F_CO_TRIK,TRIK,dual
102,1147ad30,39,2019-06-13 06:27:52.440000+00:00,C_H_M_CO,color,cards,11-13,C_H_M_CO_FLEX,FLEX,dual
103,1147ad30,40,2019-06-13 06:28:14.211000+00:00,A_H_F_CT,type,animals,11-13,A_H_F_CT_TRIK,TRIK,dual
104,1147ad30,41,2019-06-13 06:28:30.623000+00:00,A_H_M_CT,type,animals,11-13,A_H_M_CT_FLEX,FLEX,dual
105,1147ad30,42,2019-06-13 06:28:33.456000+00:00,G_H_F_OT,type,geometry,11-13,G_H_F_OT_DELY,DELY,dual
106,1147ad30,43,2019-06-13 06:28:35.811000+00:00,C_H_F_CO,color,cards,11-13,C_H_F_CO_DELY,DELY,dual
107,1147ad30,44,2019-06-13 06:28:39.544000+00:00,A_H_F_CT,type,animals,11-13,A_H_F_CT_DELY,DELY,dual
108,1147ad30,45,2019-06-13 06:28:50.354000+00:00,A_H_F_OT,type,animals,11-13,A_H_F_OT_TRIK,TRIK,dual
109,1147ad30,46,2019-06-13 06:29:11.354000+00:00,A_H_M_OT,orientation,animals,11-13,A_H_M_OT_FLEX,FLEX,dual
110,1147ad30,47,2019-06-13 06:29:16.492000+00:00,C_H_F_CT,color,cards,11-13,C_H_F_CT_TRIK,TRIK,dual
111,1147ad30,48,2019-06-13 06:29:22.142000+00:00,C_H_M_CT,color,cards,11-13,C_H_M_CT_FLEX,FLEX,dual
112,1147ad30,49,2019-06-13 06:29:25.087000+00:00,G_H_F_CO,color,geometry,11-13,G_H_F_CO_TRIK,TRIK,dual
113,1147ad30,50,2019-06-13 06:29:35.716000+00:00,G_H_M_CO,color,geometry,11-13,G_H_M_CO_FLEX,FLEX,dual
114,1147ad30,51,2019-06-13 06:29:38.754000+00:00,A_H_F_OT,orientation,animals,11-13,A_H_F_OT_DELY,DELY,dual
115,1147ad30,52,2019-06-13 06:29:42.188000+00:00,C_H_F_CT,color,cards,11-13,C_H_F_CT_DELY,DELY,dual
116,1147ad30,53,2019-06-13 06:29:45.320000+00:00,G_H_F_CO,orientation,geometry,11-13,G_H_F_CO_DELY,DELY,dual
117,1147ad30,54,2019-06-13 06:29:49.247000+00:00,C_H_F_OT,type,cards,11-13,C_H_F_OT_TRIK,TRIK,dual
118,1147ad30,55,2019-06-13 06:29:54.311000+00:00,C_H_M_OT,type,cards,11-13,C_H_M_OT_FLEX,FLEX,dual
119,1147ad30,56,2019-06-13 06:29:57.383000+00:00,G_H_F_CT,type,geometry,11-13,G_H_F_CT_TRIK,TRIK,dual
120,1147ad30,57,2019-06-13 06:30:02.720000+00:00,G_H_M_CT,type,geometry,11-13,G_H_M_CT_FLEX,FLEX,dual
121,1147ad30,58,2019-06-13 06:30:05.546000+00:00,A_H_F_CO,orientation,animals,11-13,A_H_F_CO_TRIK,TRIK,dual
122,1147ad30,59,2019-06-13 06:30:16.677000+00:00,A_H_M_CO,orientation,animals,11-13,A_H_M_CO_FLEX,FLEX,dual
123,1147ad30,60,2019-06-13 06:30:19.721000+00:00,C_H_F_OT,orientation,cards,11-13,C_H_F_OT_DELY,DELY,dual
